date	ouv	haut	bas	clot	vol	devise	
16/01/2025 00:00	14.205	14.325	13.865	14.04	2582059	EUR	
17/01/2025 00:00	14.045	14.12	13.345	13.345	5493765	EUR	
20/01/2025 00:00	13.365	13.635	13.33	13.54	2480884	EUR	
21/01/2025 00:00	13.495	13.575	13.37	13.47	2157071	EUR	
22/01/2025 00:00	13.195	13.358	13.085	13.145	3907070	EUR	
23/01/2025 00:00	13.12	13.235	13.045	13.225	2871643	EUR	
24/01/2025 00:00	13.25	13.47	13.245	13.3	2674848	EUR	
27/01/2025 00:00	13.255	13.615	13.22	13.52	2435508	EUR	
28/01/2025 00:00	13.515	13.71	13.485	13.675	1800132	EUR	
29/01/2025 00:00	13.585	13.735	13.54	13.7	1401496	EUR	
30/01/2025 00:00	13.72	13.985	13.715	13.93	1974657	EUR	
31/01/2025 00:00	13.725	13.89	13.65	13.69	2428936	EUR	
03/02/2025 00:00	13.515	13.805	13.485	13.69	1470755	EUR	
04/02/2025 00:00	13.665	13.925	13.635	13.765	1898011	EUR	
05/02/2025 00:00	13.74	13.775	13.67	13.76	1247684	EUR	
06/02/2025 00:00	13.79	13.955	13.74	13.875	1867100	EUR	
07/02/2025 00:00	13.88	14.01	13.88	13.96	1477735	EUR	
10/02/2025 00:00	13.995	14.055	13.84	13.865	1412181	EUR	
11/02/2025 00:00	13.625	13.745	13.505	13.68	2055200	EUR	
12/02/2025 00:00	13.845	13.95	13.58	13.61	2500911	EUR	
13/02/2025 00:00	13.7	13.865	13.645	13.825	2452539	EUR	
14/02/2025 00:00	13.775	13.925	13.72	13.875	2694567	EUR	
17/02/2025 00:00	13.825	13.975	13.725	13.97	2941482	EUR	
18/02/2025 00:00	13.995	14	13.64	13.79	2885372	EUR	
19/02/2025 00:00	13.85	13.91	13.665	13.705	2179261	EUR	
20/02/2025 00:00	12.9	13	12.29	12.495	15254701	EUR	
21/02/2025 00:00	12.52	12.64	12.46	12.51	4722367	EUR	
24/02/2025 00:00	12.64	12.99	12.575	12.94	5582547	EUR	
25/02/2025 00:00	12.9	13.04	12.8	12.9	3285928	EUR	
26/02/2025 00:00	12.9	12.925	12.665	12.825	5323654	EUR	
27/02/2025 00:00	12.8	12.865	12.66	12.795	3334477	EUR	
28/02/2025 00:00	12.655	12.875	12.65	12.805	5455150	EUR	
03/03/2025 00:00	12.6	12.715	12.475	12.55	5044998	EUR	
04/03/2025 00:00	12.46	12.67	12.38	12.67	3851106	EUR	
05/03/2025 00:00	12.74	12.83	12.57	12.73	3492909	EUR	
06/03/2025 00:00	12.8	13.125	12.75	13.06	5340283	EUR	
07/03/2025 00:00	13.125	13.125	12.86	13.03	3692442	EUR	
10/03/2025 00:00	13.04	13.395	13.04	13.32	4221600	EUR	
11/03/2025 00:00	13.29	13.395	12.95	13.005	3879490	EUR	
12/03/2025 00:00	13.005	13.05	12.87	12.995	3375145	EUR	
13/03/2025 00:00	12.925	12.96	12.77	12.87	2847866	EUR	
14/03/2025 00:00	12.87	13.045	12.845	12.925	3217710	EUR	
17/03/2025 00:00	12.955	13.1	12.955	12.985	2529271	EUR	
18/03/2025 00:00	13.03	13.14	13	13.09	2133953	EUR	
19/03/2025 00:00	13.1	13.21	13.06	13.175	2469072	EUR	
20/03/2025 00:00	13.225	13.36	13.165	13.305	3333811	EUR	
21/03/2025 00:00	13.34	13.44	13.245	13.245	9202207	EUR	
24/03/2025 00:00	13.3	13.34	12.87	12.87	3617903	EUR	
25/03/2025 00:00	12.925	13.035	12.895	12.955	2255242	EUR	
26/03/2025 00:00	12.96	12.995	12.835	12.95	1989898	EUR	
27/03/2025 00:00	12.96	13.18	12.935	13.105	2208609	EUR	
28/03/2025 00:00	13.055	13.3	13.055	13.255	2671535	EUR	
31/03/2025 00:00	13.18	13.23	13.075	13.22	2674527	EUR	
01/04/2025 00:00	13.285	13.355	13.22	13.295	1894945	EUR	
02/04/2025 00:00	13.285	13.52	13.285	13.31	2094665	EUR	
03/04/2025 00:00	13.365	13.645	13.355	13.505	3276875	EUR	
04/04/2025 00:00	13.56	13.62	13.23	13.245	3735037	EUR	
07/04/2025 00:00	12.89	13.235	12.615	12.975	5931916	EUR	
08/04/2025 00:00	13.1	13.1	12.82	13.005	3201402	EUR	
09/04/2025 00:00	12.985	13.005	12.7	12.81	3569649	EUR	
10/04/2025 00:00	13.255	13.3	12.995	13.005	3927442	EUR	
11/04/2025 00:00	13.11	13.24	13.01	13.095	3107576	EUR	
14/04/2025 00:00	13.24	13.435	13.215	13.385	3147306	EUR	
15/04/2025 00:00	13.41	13.44	13.145	13.25	3122981	EUR	
16/04/2025 00:00	13.32	13.45	13.19	13.25	4015504	EUR	
17/04/2025 00:00	13.16	13.265	13.05	13.205	4067581	EUR	
22/04/2025 00:00	13.38	13.66	13.36	13.66	4244034	EUR	
